"Migration","Database, Migration","","AWS Database Migration Service","AWS Database Migration Service helps you migrate databases to AWS quickly and securely.","Use credits to access features in the Free and Paid plan, including: Maintain high availability and minimal downtime during migration. Discover, assess, convert, and migrate your database and analytics workloads with automated migration.",""
"Application Integration","Application Integration","API Management","Amazon API Gateway","Amazon API Gateway is a fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure REST and Websocket APIs at any scale.","Use credits to access Amazon API Gateway features in both Free and Paid plans, including: SDK generation, API operations monitoring, API lifecycle management",""
"Application Integration","Application Integration, Serverless","API Management","AWS AppSync","AWS AppSync connects applications to events, data, and AI models","Use credits to access AWS AppSync features in both Free and Paid plans, including: Simplified data access and querying with GraphQL and server-side caching, Real-time data updates and events through pub/sub capabilities",""
"Application Integration","Application Integration, Serverless","Messaging","Amazon Simple Notification Service (SNS)","Amazon Simple Notification Service (SNS) is a fully managed Pub/Sub service for A2A and A2P messaging","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 Publishes, 100,000 HTTP/S Deliveries, 1,000 Email Deliveries",""
"Application Integration","Application Integration, Serverless","Messaging","Amazon Simple Queue Service (SQS)","Amazon Simple Queue Service (SQS) is a message queue that sends, stores, and receives messages between application components at any volume","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 Requests",""
"Application Integration","Application Integration","Messaging","Amazon MQ","Amazon MQ is a fully managed service for open-source message brokers","Use credits to access Amazon MQ features in both Free and Paid plans, including: Automation of administrative tasks including hardware provisioning and software upgrades, Support of multiple messaging protocols: AMQP, STOMP, WebSocket, and MQTT, Configuration of advanced message routing",""
"Application Integration","Application Integration, DevOps, Serverless","Workflows","AWS Step Functions","AWS Step Functions coordinates multiple AWS services into serverless workflows so you can build and update apps quickly","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 4,000 state transitions per month",""
"IOT","IOT","","AWS IoT Core","AWS IoT Core connects IoT devices to the AWS cloud without the need to provision or manage server.","12-month free trial with the Free and Paid plan. The trial includes: 250,000 Messages (published or delivered) per month",""
"IOT","IOT","","AWS IoT Device Management","AWS IoT Device Management onboards, organizes, monitors, and remotely manages connected devices at scale.","12-month free trial with the Free and Paid plan. The trial includes: 50 remote actions per month.",""
"IOT","Cloud Security, IOT","","AWS IoT Device Defender","AWS IoT Device Defender is a fully managed service that helps you secure your fleet of IoT devices","1-month free trial with the Free and Paid plan. The trial includes: 1 audit of all devices in your fleet in the first month, 1 million metric datapoints for one month",""
"IOT","IOT","","AWS IoT Events","AWS IoT Events is a fully managed IoT service that makes it easy to detect and respond to events from IoT sensors and applications.","12-month free trial with the Free and Paid plan. The trial includes: 2,500 message evaluations per month",""
"IOT","IOT","","AWS IoT SiteWise","AWS IoT SiteWise is a managed service that makes it easy to collect, store, organize, and monitor data from industrial equipment at scale to help you make better, data-driven decisions.","Not Available on the AWS Free Tier",""
"IOT","IOT","","AWS IoT Greengrass","AWS IoT Greengrass is an open-source edge runtime and cloud service for building, deploying, and managing device software.","12-month free trial with the Paid plan. The trial includes: 3 devices for free",""
"Cloud Security","Cloud Security","Identity & Access Management","Amazon Cognito","Amazon Cognito lets you add user sign-up, sign-in, and access control to your web and mobile apps quickly and easily.","This always free service is on the Free and Paid plan. The trial includes: 50,000 monthly active users, The first 10,000 users that a free tier, Up to 50 GB of most user storage, 100M sync operations",""
"Cloud Security","Cloud Security","Identity & Access Management","AWS Organizations","AWS Organizations helps you centrally manage and govern your environment as you grow and scale your AWS resources.","This always free service is on the Free and Paid plan.",""
"Cloud Security","Cloud Security","Detection","AWS Security Hub","AWS Security Hub is a cloud security posture management service that performs security best practice checks, aggregates alerts, and enables automated remediation.","90-day free trial with the Free plan. The trial includes: 10,000 supported findings per account per region per month",""
"Cloud Security","Cloud Security","Detection","Amazon GuardDuty","Amazon GuardDuty is a threat detection service that continuously monitors for malicious activity and unauthorized behavior to protect your AWS accounts, workloads, and data stored in Amazon S3.","30-day free trial with the Paid plan.",""
"Cloud Security","Cloud Security","Detection","Amazon Inspector","Amazon Inspector is a vulnerability management service that continuously scans workloads for software vulnerabilities and unintended network exposure.","15-day free trial with the Free plan. The trial includes: Up to 250 unlimited free tier accounts per organisation",""
"Cloud Security","Cloud Security, IOT","Detection","AWS IoT Device Defender","AWS IoT Device Defender makes a way to audit configurations, understand device behaviors, identify security vulnerabilities, and monitor connected IoT device fleets.","1-month free trial with the Free and Paid plan. The trial includes: 1 audit of all devices in your fleet in the first month of account, 1 million metric datapoints for one month",""
"Cloud Security","Cloud Security, DevOps","Detection","Amazon CloudWatch","CloudWatch provides you with data and actionable insights to monitor your applications, respond to system-wide performance changes, optimize resource utilization, and get a unified view of operational health.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 10 custom metrics and alarms, 1M API requests, 5GB of log data ingestion and 5GB of log data archival, 3 dashboards with up to 50 metrics each per month",""
"Cloud Security","Cloud Security","Network and Application Protection","AWS WAF","AWS WAF is a web application firewall that protects your web applications or APIs against common web exploits and bots that may affect availability, consume excessive resources, or compromise security.","Use credits to access features in both Free and Paid plans.",""
"Cloud Security","Cloud Security","Network and Application Protection","AWS Shield","AWS Shield is a managed Distributed Denial of Service (DDoS) protection service that safeguards applications running on AWS.","This always free service is available on the Free and Paid plans.",""
"Cloud Security","Cloud Security","Data Protection","Amazon Macie","Amazon Macie is a fully managed data security and data privacy service that uses machine learning and pattern matching to discover and protect your sensitive data in Amazon S3.","30-day free trial with the Paid plan. The trial includes: Sensitive data discovery scans up to 1 GB per month for the first 30 days",""
"Cloud Security","Cloud Security","Data Protection","AWS Private Certificate Authority","AWS Private Certificate Authority (CA) is a highly available managed private certificate authority service.","30-day free trial with the Free plan. The trial includes: Up to 2008 data processing is encrypted. The service list 30 days with no charge for operations of the first private CA activated at your account.",""
"Cloud Security","Cloud Security","Data Protection","AWS Key Management Service","AWS KMS makes it easy for you to create, manage, and control cryptographic keys across your services and in your applications.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 20,000 free requests monthly across, 10 free key requests per month",""
"Cloud Security","Cloud Security","Data Protection","AWS Secrets Manager","AWS Secrets Manager helps you protect secrets needed to access your applications, services, and IT resources. The service enables you to easily rotate, manage, and retrieve database credentials, API keys, and other secrets throughout their lifecycle.","30,000 requests per month, Remote access to secrets, Secret rotation",""
"Cloud Security","Cloud Security","Incident Response","Amazon Detective","Amazon Detective makes it easy to analyze, investigate, and quickly identify the root cause of potential security issues or suspicious activities.","30-day free trial with the Paid plan.",""
"Cloud Security","Cloud Security","Compliance","AWS Audit Manager","AWS Audit Manager helps you continuously audit your AWS usage to simplify how you assess risk and compliance with regulations and industry standards.","1-month free trial with the Paid plan.",""
"Cloud Security","Cloud Security, DevOps","Compliance","AWS CloudTrail","AWS CloudTrail is a service that enables governance, compliance, operational auditing, and risk auditing of your AWS account.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 trail that delivers a single copy of management events in each region per month for delivering events.",""
"Cloud Security","Cloud Security","Compliance","AWS Artifact","AWS Artifact provides on-demand access to AWS compliance documentation and AWS agreements.","Available at no additional charge at no charge.",""
"Networking and Content Delivery","Compute, Networking and Content Delivery, Web Apps","","Elastic Load Balancing","Elastic Load Balancing is an automatic distribution of incoming application traffic across multiple Amazon EC2 instances.","12-month free trial on the Free and Paid plan. The trial includes: 750 Hours per month shared between Classic and Application load balancers, 15 GB of data processing for Classic load balancers, 15 LCUs for Application load balancers",""
"Networking and Content Delivery","Networking and Content Delivery, Web Apps","","Amazon CloudFront","Amazon CloudFront is a web service to distribute content to end users with low latency and high data transfer speeds.","This always free service is on the Free and paid plan. Use your credits to evaluate beyond these monthly limits: 1 TB of Data Transfer Out, 10 Million HTTP or HTTPS Requests",""
"Serverless","Application Integration, Compute, DevOps, Serverless, Web Apps","","AWS Lambda","AWS Lambda is a compute service that runs your code in response to events and automatically manages the compute resources.","This always free service is available on the Free or Paid plan. Use your credits to evaluate beyond these monthly limits: 1 million free requests per month, Up to 400,000 GB-seconds or 3.2 million seconds of compute time per month",""
"Serverless","Application Integration, DevOps, Serverless","","AWS Step Functions","AWS Step Functions coordinates components of distributed applications.","This always free service is available on the Free or Paid plan. Use your credits to evaluate beyond these monthly limits: 4,000 state transitions per month",""
"Serverless","Application Integration, Serverless","","Amazon SQS","Amazon SQS provides scalable queue for storing messages as they travel between computers.","This always free service is available on the Free or Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 requests per month",""
"Serverless","Application Integration, Serverless","","Amazon SNS","Amazon SNS is a fast, flexible, fully managed push messaging service.","This always free service is available on the Free or Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 publishes per month, 100,000 HTTP/S deliveries per month, 1,000 Email deliveries per month",""
"Serverless","Application Integration, Serverless","","Amazon API Gateway","Amazon API Gateway can publish, maintain, monitor, and secure APIs at any scale.","Use credits to access features in the Free and Paid plan, including: SDK generation, API operations Monitoring, API lifecycle Management",""
"Serverless","Application Integration, Serverless","","AWS AppSync","AWS AppSync can develop, secure and run GraphQL APIs at any scale.","Use credits to access features in the Free and Paid plan, including: Simplified data access and querying with GraphQL and server-side caching, Real-time data updates and events through pub/sub capabilities, Enhanced security with multiple authentication options and monitoring via CloudWatch and X-Ray",""
"Serverless","Analytics, Machine Learning, Serverless, Storage, Web Apps","","Amazon S3","Amazon S3 provides secure, durable, and scalable object storage infrastructure.","Use credits to access features in the Free and Paid plan, including: Storage of data across multiple zones with 99.999999999% durability, Protection of data with encryption, access control, and Block Public Access settings",""
"Serverless","Database, Serverless","","Amazon DynamoDB","Amazon DynamoDB provides fast and flexible NoSQL database with seamless scalability.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 25 GB of storage, 25 provisioned Write Capacity Units (WCU), 25 provisioned Read Capacity Units (RCU)",""Category,Category List,Subcategory,Product,Description,Free Tier Offer Details,Product Pricing
"Artificial Intelligence","Artificial Intelligence","Language","Amazon Polly","Amazon Polly is a service that turns text into lifelike speech, allowing you to create applications that talk, and build entirely new categories of speech-enabled products.","500 credits to access features in the Free and Paid plan.",""
"Artificial Intelligence","Artificial Intelligence","Language","Amazon Transcribe","Amazon Transcribe uses a deep learning process called automatic speech recognition (ASR) to convert speech to text quickly and accurately.","12-month free trial with the Free plan. The trial includes: 60 minutes free trial.",""
"Artificial Intelligence","Artificial Intelligence","Language","Amazon Lex","Amazon Lex is a service for building conversational interfaces into any application using voice and text.","Use credits to access Amazon Lex features in the Free and Paid plan",""
"Artificial Intelligence","Artificial Intelligence","Language","Amazon Translate","Amazon Translate is a neural machine translation service that delivers fast, high-quality, and affordable language translation.","12-month free trial with the Free plan. The trial includes: 2 million characters per month.",""
"Artificial Intelligence","Artificial Intelligence","Automated Data Extraction and Analysis","Amazon Textract","Amazon Textract is a machine learning (ML) service that automatically extracts text, form, and structured data from documents.","3 months free trial of the Paid plan. The trial includes: 1,000 pages per month.",""
"Artificial Intelligence","Artificial Intelligence","Automated Data Extraction and Analysis","Amazon Comprehend","Amazon Comprehend is a natural language processing (NLP) service that uses machine learning to find insights and relationships in text.","12-month free trial of the Free plan. The trial includes: 50K units of text (5M characters) for each API per month. 25 custom classification API calls per month. 50K unit text per month. 3 free Redshift Jobs up to 1 MB each per month.",""
"Artificial Intelligence","Artificial Intelligence","Automated Data Extraction and Analysis","Amazon Augmented AI (A2I)","Amazon Augmented AI (A2I) allows you to build the workflows required for human review of ML predictions to guarantee precision.","500 credits to access Amazon A2I features in the Free and Paid plan. Including: Implementing human reviews and audits of ML predictions.",""
"Artificial Intelligence","Artificial Intelligence","Computer Vision","Amazon Rekognition","Amazon Rekognition makes it easy to add image and video analysis to your applications. You do not need any machine learning expertise to use this powerful machine learning service. Amazon Rekognition you can identify objects, people, text, scenes, and activities, as well as detect any inappropriate content.","500 credits to access Amazon Rekognition features in the Free and Paid plan. Including: Analyzing images and video objects within seconds.",""
"Artificial Intelligence","Artificial Intelligence","Specialized Services","Find Accurate Information Faster","Amazon Kendra is an enterprise search service that helps you search across different content repositories with built-in connectors.","30 day free trial of the Free plan. Up to The free tier covers up to for the first 30 days.",""
"Artificial Intelligence","Artificial Intelligence","Specialized Services","Amazon Personalize","Amazon Personalize enables developers to build applications and real-time personalized recommendations using the same personalization technology.","2-month free trial with the Free plan. The trial includes: Up to 20GB data processing & encryption, Up to 50 training hours per month, Up to 100,000 real-time recommendations requests per month.",""
"Artificial Intelligence","Artificial Intelligence","Code and DevOps","Amazon DevOps Guru","Amazon DevOps Guru uses ML to detect anomalous operating patterns so you can identify operational issues before they impact your customers.","3 months free trial with the Free plan. The trial includes: Analysis of Amazon DevOps Guru hours from AWS CloudFormation stacks for applications. Up to 7,200 hours detected over 3 months. 50,000 DevOps Guru API calls.",""
"Artificial Intelligence","Artificial Intelligence","Code and DevOps","Amazon Q Developer","Amazon Q Developer is your new generative artificial intelligence powered assistant for software development.","Amazon Q Developer is up during free during tier by the Free and Paid plan.",""
"Artificial Intelligence","Artificial Intelligence","Code and DevOps","Amazon Bedrock","Amazon Bedrock is a comprehensive, intuitive, and flexible service for building generative AI applications and agents.","500 credits to access Amazon Bedrock features in both Free and Paid plans.",""
"Artificial Intelligence","Artificial Intelligence","Healthcare","AWS HealthLake","Amazon HealthLake is a HIPAA-eligible service for healthcare providers, health insurers, and pharmaceutical companies to store, query, and analyze health data in the cloud.","This always free service is on the Free and Paid plan. Free plan offering unlimited data from certified partners to 5 GB data per month. Free data import. Free query requests.",""
"Machine Learning","Analytics, Machine Learning","","AWS Glue","AWS Glue Serverless data integration makes it easy to discover, prepare, and combine data for analytics, machine learning (ML), and application development.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 million objects stored in the AWS Glue Data Catalog, 1 million requests made per month to the AWS Glue Data Catalog",""
"Machine Learning","Analytics, Machine Learning","","Amazon OpenSearch Service","Amazon OpenSearch Service is a distributed, community-driven, Apache 2.0-licensed, 100% open-source search and analytics suite used for a broad set of use cases like real-time application monitoring, log analytics, and website search.","This always free service is on the Paid plan. Use your credits to evaluate beyond these monthly limits: 750 hours of a single-AZ t2.small.search or t3.small.search instance, 10 GB of month of optional EBS storage (magnetic or general purpose)",""
"Machine Learning","Analytics, Machine Learning","","Amazon QuickSight","Amazon QuickSight is a scalable, serverless, embeddable, ML-powered BI service.","30-day free trial with the Paid plan. The trial includes: 10 GB of SPICE capacity for a total of 4 users",""
"Machine Learning","Analytics, Machine Learning","","Amazon Redshift","Amazon Redshift is a fully managed, scalable cloud data warehouse that accelerates your time to insights with fast, easy, and secure analytics at scale.","2-month free trial with the Paid plan. The trial includes: 750 DC2.Large node hours per month",""
