"Migration","Database, Migration","","AWS Database Migration Service","AWS Database Migration Service helps you migrate databases to AWS quickly and securely.","Use credits to access features in the Free and Paid plan, including: Maintain high availability and minimal downtime during migration. Discover, assess, convert, and migrate your database and analytics workloads with automated migration.",""
"Machine Learning","Analytics, Machine Learning, Serverless, Storage, Web Apps","","Amazon S3","Amazon S3 is an object storage service that offers industry-leading scalability, data availability, security, and performance.","This always free service is on the Free and Paid plan, including: Storage of data across multiple zones with 99.999999999% durability, Protection of data with encryption, access control, and Block Public Access settings",""
"Machine Learning","Analytics, Machine Learning","","Amazon SageMaker AI","Amazon SageMaker AI allows you yo build, train, and deploy ML models—including FMs—for any use case with fully managed infrastructure.","Use credits to access features in the Free and Paid plan.",""
"Database","Database","","Amazon Aurora DSQL","Amazon Aurora DSQL is the fastest serverless distributed SQL database for always available applications.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 100K Distributed Processing Units, 1GB of storage",""
"Database","Database","","Amazon RDS","Amazon RDS is a managed relational database service for MySQL, PostgreSQL, MariaDB, Oracle, or SQL Server.","Use credits to access Amazon RDS features in both Free and Paid plans. Free plan eligible instances include: db.t3.micro and db.t4g.micro and 4 engines: MySQL, PostgreSQL, MariaDB, and Microsoft SQL Server",""
"Database","Database, Serverless","","Amazon DynamoDB","Amazon DynamoDB is a serverless, NoSQL, fully managed database with single-digit millisecond performance at any scale.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 25 GB of storage, 25 provisioned Write Capacity Units (WCU), 25 provisioned Read Capacity Units (RCU)",""
"Database","Database","","Amazon ElastiCache","Amazon ElastiCache is a serverless, fully managed caching service delivering microsecond latency with Valkey-, Memcached-, and Redis OSS compatibility.","Use credits to access features in the Free and Paid plans, including: Serverless cache creation in under a minute, Microsecond response times at scale",""
"Database","Database, Migration","","AWS Database Migration Service","AWS Database Migration Service is trusted by customers to securely migrate 1.5M+ databases with minimal downtime and zero data loss.","Use credits to access features in the Free and Paid plan, including: Maintain high availability and minimal downtime during migration. Discover, assess, convert, and migrate your database and analytics workloads with automated migration.",""
"Database","Database","","Amazon DocumentDB (with MongoDB compatibility)","Amazon DocumentDB is a fully managed, cost-effective, MongoDB-API compatible document database service.","30-day free trial with the Paid plan. The trial includes: 750 hours of DocumentDB on t3.medium instances, 5 GB of storage, 5 GB of backup storage, 30M IOs",""
"Database","Database","","Amazon Neptune","Amazon Neptune is a serverless graph database and fully managed graph analytics service using popular open source APIs such as Gremlin, SPARQL, and openCypher.","30-day free trial with the Paid plan. The trial includes: 750 hours of Neptune t3.medium instance usage, 10 million I/O requests, 1 GB of storage, 1 GB of backup",""
"Database","Database","","Amazon Keyspaces (for Apache Cassandra)","Amazon Keyspaces (for Apache Cassandra) is a scalable, highly available, and managed Apache Cassandra-compatible database service.","3-month free trial with the Paid plan. The trial includes: 30 million on-demand reads per month, 30 million on-demand writes per month, 1 GB of storage per month",""
"Database","Database","","Amazon MemoryDB","Amazon MemoryDB is a Valkey- and Redis OSS-compatible, durable, in-memory database service for ultra-fast performance.","2-month free trial with the Paid plan. The trial includes: 750 hours of MemoryDB on t4g.small instances per month, 10 TB of data written per month for Valkey, 20 GB of data written per month for Redis OSS",""
"Web Apps","Compute, Containers, Web Apps","","Amazon EC2","Amazon EC2 provides resizable compute capacity in the cloud, enabling users to host websites across multiple datacenters and scale their sites through load balancing, autoscaling, or external databases.","Use credits to access Amazon EC2 features in both Free and Paid plans. Free plan eligible instances include: T3.micro, T3.small, T4g.micro, T4g.small, C7i-flex.large, M7i-flex.large",""
"Web Apps","Compute, Containers, Web Apps","","Amazon Lightsail","Amazon Lightsail is a Virtual Private Servers made easy that can be used to host simple websites built on common applications such as WordPress, Joomla, Drupal, and Magento.","90-day free trial with the Paid plan. The trial includes: The $3.50 USD Lightsail plan free for 90 days when using Linux/Unix, The $8 USD plan free for 90 days when using Lightsail for Microsoft Windows Server",""
"Web Apps","Application Integration, Compute, DevOps, Serverless, Web Apps","","AWS Lambda","AWS Lambda is a compute service that runs your code in response to events and automatically manages the compute resources.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 free requests per month, Up to 400,000 GB-seconds or 3.2 million seconds of compute time per month",""
"Web Apps","Compute, Networking and Content Delivery, Web Apps","","Elastic Load Balancing","Elastic Load Balancing automatically distributes incoming application traffic across multiple targets, such as Amazon EC2 instances, containers, IP addresses, Lambda functions, and virtual appliances.","Use credits to access features in both Free and Paid plans, including: Application Load Balancer, Network Load Balancer, Gateway Load Balancer",""
"Web Apps","Analytics, Machine Learning, Serverless, Storage, Web Apps","","Amazon S3","Amazon S3 is a secure, durable, and scalable object storage infrastructure that can be used to host static websites to deliver HTML, JavaScript, images, and video for sites that do not contain server-side scripting.","Use credits to access features in both Free and Paid plans, including: Storing data across multiple zones with 99.999999999% durability, Data protection with encryption, access control, and Block Public Access settings",""
"Web Apps","Web Apps","","AWS Amplify Hosting","Amplify Hosting is a fully managed CI/CD and hosting service for fast, secure, and reliable static websites and server-side rendered web apps.","Use credits to access features in both Free and Paid plans, including: Support of modern web frameworks including React, Angular, and Vue",""
"Web Apps","Networking and Content Delivery, Web Apps","","Amazon CloudFront","CloudFront is a content delivery network (CDN) that secures and accelerates the delivery of static and dynamic content to end users.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 TB of data transfer out, 10M HTTP or HTTPS requests per month, 2M CloudFront Function invocations per month, 2M CloudFront KeyValueStore reads per month",""
"DevOps","DevOps","Continuous Integration & Continuous Delivery","Amazon CodeBuild","Amazon CodeBuild is a fully managed build service that takes care in the cloud.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 100 build minutes per month of general purpose build type usage",""
"DevOps","DevOps","Continuous Integration & Continuous Delivery","Amazon CodeCatalyst","Amazon CodeCatalyst is a unified software development service that makes it easy to quickly build and deliver applications on AWS.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 2,000 build minutes, 10 Gb of each workflow deployment hours, 10 GB of source storage",""
"DevOps","DevOps","Continuous Integration & Continuous Delivery","AWS CodePipeline","AWS CodePipeline is a continuous delivery service for fast and reliable application updates.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 active pipeline per month",""
"DevOps","DevOps","Microservices","Amazon ECS","Amazon ECS allows you to manage containers at any scale on managed infrastructure.","Use credits to access Amazon Elastic Container Service features in the Free and Paid plan.",""
"DevOps","Application Integration, Compute, DevOps, Serverless, Web Apps","Microservices","AWS Lambda","AWS Lambda is a compute service that runs your code in response to events and automatically manages the compute resources.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 free requests per month, Up to 400,000 GB-seconds or 3.2 million seconds of compute time per month",""
"DevOps","DevOps","Infrastructure as Code","AWS CloudFormation","AWS CloudFormation allows you to model infrastructure worldwide and manage resources for AWS accounts and resources using familiar programming languages.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000 handler operations per month",""
"DevOps","DevOps","Infrastructure as Code","AWS Systems Manager","AWS Systems Manager can coordinate operational data from multiple AWS services and automate tasks across your AWS resources.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: Free Systems Designer Features - Explorer, Application Manager, Best System Manager, Patch Manager, Maintenance Window, State Manager, Change Calendar, Automation, Instance Management, Distributor. Limits may apply to Systems Manager features provided at no additional charge.",""
"DevOps","DevOps","Infrastructure as Code","AWS Cloud Development Kit (CDK)","AWS Cloud Development Kit (CDK) is an open-source framework that allows you to define cloud application resources using familiar programming languages.","ALWAYS FREE",""
"DevOps","Cloud Security, DevOps","Monitoring & Logging","AWS CloudTrail","AWS CloudTrail provides you with audit capabilities to monitor and obtain account activity related to actions across your AWS infrastructure.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 trail that delivers a single copy of management events in AWS trail events.",""
"DevOps","Cloud Security, DevOps","Monitoring & Logging","Amazon CloudWatch","Amazon CloudWatch is a service that monitors applications, responds to performance changes, optimizes resource utilization, and provides insights into operational health.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 10 custom metrics and alarms, 1M API requests, 5GB of log data ingestion and 5GB of log data archival, 3 dashboards with up to 50 metrics each per month",""
"DevOps","DevOps","Monitoring & Logging","AWS X-Ray","AWS X-Ray analyzes and debugs production and distributed applications.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 100,000 traces recorded per month, 1,000,000 traces scanned or retrieved per month",""
"Storage","Storage","","Amazon S3 Object Storage","Amazon Simple Storage Service (Amazon S3) is an object storage service that offers industry-leading scalability, data availability, security, and performance.","Use credits to access features in the Free and Paid plans, including: 5 GB of Amazon S3 standard storage, 20,000 Get Requests, 2,000 Put Requests",""
"Storage","Storage","","Amazon Elastic Block Storage Block Storage","Amazon Elastic Block Store (EBS) is an easy to use, high-performance, block-storage service designed for use with Amazon Elastic Compute Cloud (EC2) for both throughput and transaction intensive workloads at any scale.","Use credits to access features in the Free and Paid plans, including: Amazon EBS Snapshots, Amazon Data Lifecycle Manager",""
"Storage","Storage","","Amazon EFS Elastic File System","Amazon Elastic File System (Amazon EFS) provides a simple, scalable, fully managed elastic NFS file system for use with AWS Cloud services and on-premises resources.","Use credits to access features in the Free and Paid plans, including: Fully managed NFS storage for Linux workloads, 99.999999999% durability over a given year, Automatic scaling to petabytes of storage",""
"Storage","Storage","","AWS Storage Gateway Hybrid Cloud Storage","AWS Storage Gateway is a hybrid cloud storage service that gives you on-premises access to virtually unlimited cloud storage.","100 GB free trial with the Paid plan. The trial includes: First 100 GB per account, No transfer charges into AWS",""
"Analytics","Analytics, Machine Learning","","AWS Glue","AWS Glue Serverless data integration makes it easy to discover, prepare, and combine data for analytics, machine learning (ML), and application development.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 million objects stored in the AWS Glue Data Catalog, 1 million requests made per month to the AWS Glue Data Catalog",""
"Analytics","Analytics, Machine Learning","","Amazon OpenSearch Service","Amazon OpenSearch Service is a distributed, community-driven, Apache 2.0-licensed, 100% open-source search and analytics suite used for a broad set of use cases like real-time application monitoring, log analytics, and website search.","This always free service is on the Paid plan. Use your credits to evaluate beyond these monthly limits: 750 hours of a single-AZ t2.small.search or t3.small.search instance, 10 GB of month of optional EBS storage (magnetic or general purpose)",""
"Analytics","Analytics, Machine Learning","","Amazon QuickSight","Amazon QuickSight is a scalable, serverless, embeddable, ML-powered BI service.","30-day free trial with the Paid plan. The trial includes: 10 GB of SPICE capacity for a total of 4 users",""
"Analytics","Analytics, Machine Learning","","Amazon Redshift","Amazon Redshift is a fully managed, scalable cloud data warehouse that accelerates your time to insights with fast, easy, and secure analytics at scale.","2-month free trial with the Paid plan. The trial includes: 750 DC2.Large node hours per month",""
"Analytics","Analytics, Machine Learning, Serverless, Storage, Web Apps","","Amazon S3","Amazon S3 is an object storage service that offers industry-leading scalability, data availability, security, and performance.","This always free service is on the Free and Paid plan, including: Storage of data across multiple zones with 99.999999999% durability, Protection of data with encryption, access control, and Block Public Access settings",""
"Analytics","Analytics, Machine Learning","","Amazon SageMaker AI","Amazon SageMaker AI allows you yo build, train, and deploy ML models—including FMs—for any use case with fully managed infrastructure.","Use credits to access features in the Free and Paid plan.",""
"End User Computing","End User Computing","","Amazon WorkSpaces","You can use Amazon WorkSpaces to provision either Windows or Linux desktops in just a few minutes and quickly scale to provide thousands of desktops to workers across the globe.","Use credits to access features in the Paid plan.",""
"End User Computing","End User Computing","","Amazon AppStream 2.0","Amazon AppStream 2.0 is a fully managed non-persistent application and desktop streaming service allowing you to centrally manage your desktop applications and securely deliver them to any computer.","40 hours free per month with the Paid plan. The trial includes: 40 hours per month of Windows stream.standard.large image builder usage",""
"End User Computing","End User Computing","","Amazon WorkSpaces Web","Amazon WorkSpaces Web is a low-cost, fully managed workspace built to facilitate secure access to internal websites and SaaS applications from existing web browsers.","3-month free trial with the Paid Plan. Eligible accounts will not receive a monthly active user charge from Amazon WorkSpaces Secure Browser for up to 30 users, for 3 months, per AWS account.",""
"Containers","Containers","","Amazon Elastic Container Registry (ECR)","Amazon Elastic Container Registry (Amazon ECR) is a fully managed container registry that makes it easy to store, manage, share, and deploy your container images and artifacts anywhere.","Use credits to access features in both Free and Paid plans, including: Container orchestrator integration, OCI and Docker support",""
"Containers","Containers","","Amazon Elastic Container Service (ECS) Anywhere","Amazon Elastic Container Service (ECS) Anywhere is a feature of Amazon ECS that enables you to easily run containers on customer-managed infrastructure, including on your own virtual machines (VMs) and bare metal servers.","Use credits to access Amazon ECS Anywhere features in the Free and Paid plan.",""
"Containers","Compute, Containers, Web Apps","","Amazon Lightsail","Amazon Lightsail is an easy-to-use virtual private server (VPS) that offers you everything needed to build an application or website, plus a cost-effective, monthly plan.","90-day free trial with the Paid plan. The trial includes: Try the $5/mo, $7/mo, or $12/mo Linux/Unix plans with IPv4 address, Try the $9.50/mo, $14/mo, or $22/mo Windows plans with IPv4 address",""
"Containers","Compute, Containers, Web Apps","","Amazon Elastic Compute Cloud (EC2)","Amazon Elastic Compute Cloud (Amazon EC2) offers the broadest and deepest compute platform, with over 750 instances and choice of the latest processor, storage, networking, operating system.","Use credits to access Amazon EC2 features in both Free and Paid plans. Free plan eligible instances include: T3.micro, T3.small, T4g.micro, T4g.small, C7i-flex.large, M7i-flex.large",""
"Compute","Compute, Containers, Web Apps","","Amazon EC2","Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides secure, resizable compute capacity in the cloud.","Use credits to access features in both Free and Paid plans. Free plan eligible instances include: T3.micro, T3.small, T4g.micro, T4g.small, C7i-flex.large, M7i-flex.large",""
"Compute","Compute, Containers, Web Apps","","Amazon Lightsail","Amazon Lightsail is an easy-to-use virtual private server (VPS) that offers you everything needed to build an application or website, plus a cost-effective, monthly plan.","90-day free trial with the Paid plan. The trial includes: Try the $5/mo, $7/mo, or $12/mo Linux/Unix plans with IPv4 address, Try the $9.50/mo, $14/mo, or $22/mo Windows plans with IPv4 address",""
"Compute","Application Integration, Compute, DevOps, Serverless, Web Apps","","AWS Lambda","AWS Lambda is a serverless compute service that lets you run code without provisioning or managing servers, creating workload-aware cluster scaling logic, maintaining event integrations, or managing runtimes.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 free requests per month, Up to 400,000 GB-seconds or 3.2 million seconds of compute time per month",""
"Compute","Compute","","Amazon Elastic Container Registry","Amazon Elastic Container Registry (ECR) is a fully managed container registry that makes it easy to store, manage, share, and deploy your container images and artifacts anywhere.","Use credits to access features in both Free and Paid plans, including: Container orchestrator integration, OCI and Docker support",""
"Compute","Compute, Networking and Content Delivery, Web Apps","","Elastic Load Balancing","Elastic Load Balancing automatically distributes incoming application traffic across multiple targets, such as Amazon EC2 instances, containers, IP addresses, Lambda functions, and virtual appliances.","Use credits to access features in both Free and Paid plans, including: Application Load Balancer, Network Load Balancer, Gateway Load Balancer",""
"Migration","Migration","","AWS Migration Evaluator","AWS Migration Evaluator builds a data-driven business case for migration to AWS","This always free service is on the Free and Paid plan.",""
"Migration","Migration","","AWS Application Discovery Service","AWS Application Discovery Service collects server specification information, performance data, and details of running processes and network connections","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these limits: 1,000 applications per account",""
"Migration","Migration","","AWS Migration Hub","AWS Migration Hub delivers a guided end-to-end migration and modernization journey through discovery, assessment, planning, and execution.","This always free service is on the Free and Paid plan. Organize resources into applications, obtain right-sized EC2 instance recommendations, and track the progress of your application migrations across multiple AWS and partner solutions.",""
"Migration","Migration","","AWS Application Migration Service","AWS Application Migration Service simplifies, expedites, and reduces the cost of migrating and modernizing applications.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: Migrate an unlimited number of servers at no charge (for up to 90 days per server)",""
"Migration","Database, Migration","","AWS Database Migration Service","AWS Database Migration Service helps you migrate databases to AWS quickly and securely.","Use credits to access features in the Free and Paid plan, including: Maintain high availability and minimal downtime during migration. Discover, assess, convert, and migrate your database and analytics workloads with automated migration.",""